Customer Type,Material Type,Material,Brand,Level,Price
Residential,Quartzite White Pearl 3cm Polished.,Granite,GRANITE,N/A,N/A
Residential,Urban Frost,SileStone,QUARTZ,N/A,N/A
Residential,Aspen - Sparkling Black 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Calacatta Lucia 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Cashmere Carrara 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Glacier White 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Granite - White Spring 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Manhattan Gray 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Raven 2cm Polished A 4120,Ceasarstone,QUARTZ,N/A,N/A
Residential,Aspen - Iced White 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Lava Roca(Leather Finish) 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Volakas 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,MARINE BLACK,SOAPSTONE,QUARTZ,N/A,N/A
Residential,Solarius 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,White Cliff 1cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,White Wave 3cm Dual,Granite,GRANITE,N/A,N/A
Residential,Giallo Ornamental 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Granite - Blue Pearl 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,3014 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Absolute Cream 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Absolute Noir 3cm Polished A 6100,Ceasarstone,QUARTZ,N/A,N/A
Residential,Adamantium 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Aged Timber Matte 2cm,Dekton,QUARTZ,N/A,N/A
Residential,Alaska White 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Alba 3cm,LG,QUARTZ,N/A,N/A
Residential,Alpine 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Alpine Mist,Ceasarstone,QUARTZ,N/A,N/A
Residential,Alpine Valley 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Alpine White 2cm Polished,Granite,GRANITE,N/A,N/A
Residential,Alpinus White 2cm Polished,Granite,GRANITE,N/A,N/A
